@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
review,51,0.490196,0.509804,0,0.156863,0.039216,0.196078,0.078431,0.098039,0.019608,0.490196,'\'B1of2\''
review,157,0.477707,0.522293,0,0.210191,0.031847,0.197452,0.044586,0.057325,0.012739,0.515924,'\'B1of2\''
review,100,0.47,0.53,0,0.16,0.03,0.2,0.04,0.07,0,0.46,'\'B1of2\''
title,2,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,19,0.526316,0.473684,0,0.105263,0.052632,0.315789,0.105263,0.105263,0.105263,0.526316,'\'B1of2\''
title,6,0.5,0.5,0,0.333333,0,0.333333,0,0,0,0.833333,'\'B1of2\''
title,3,0.333333,0.666667,0,0.666667,0,0,0,0,0,0.666667,'\'B1of2\''
review,101,0.514851,0.485149,0,0.118812,0.029703,0.227723,0.079208,0.09901,0,0.475248,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,12,0.583333,0.416667,0,0.25,0.083333,0.333333,0,0,0,0.75,'\'B2of2\''
review,38,0.526316,0.473684,0,0.157895,0.052632,0.263158,0.052632,0.105263,0,0.657895,'\'B2of2\''
review,2,0,1,0,0.5,0,0.5,0,0,0,1,'\'B1of2\''
review,38,0.447368,0.552632,0,0.210526,0.078947,0.184211,0.052632,0.131579,0,0.605263,'\'B2of2\''
review,85,0.505882,0.494118,0,0.152941,0.023529,0.152941,0.047059,0.117647,0.011765,0.458824,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
title,4,0.5,0.5,0,0.5,0.25,0,0,0,0,0.75,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,12,0.583333,0.416667,0,0.166667,0.166667,0.25,0,0.083333,0,0.5,'\'B2of2\''
review,2,0,1,0,0.5,0,0,0.5,0,0,0.5,'\'B2of2\''
review,54,0.462963,0.537037,0,0.203704,0.018519,0.203704,0.055556,0.092593,0,0.537037,'\'B1of2\''
title,4,0.25,0.75,0,0.75,0,0,0,0,0,0.75,'\'B2of2\''
review,18,0.444444,0.555556,0,0.166667,0,0.166667,0.111111,0.222222,0,0.555556,'\'B1of2\''
review,42,0.452381,0.547619,0,0.190476,0.071429,0.190476,0.071429,0.095238,0.02381,0.571429,'\'B2of2\''
review,7,0.142857,0.857143,0,0.428571,0,0.142857,0.142857,0.142857,0,0.857143,'\'B1of2\''
review,48,0.416667,0.583333,0,0.208333,0.020833,0.145833,0,0.083333,0,0.520833,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,11,0.636364,0.363636,0,0.181818,0.181818,0.272727,0,0,0,0.454545,'\'B1of2\''
review,7,0.428571,0.571429,0,0.142857,0,0.142857,0.142857,0.142857,0,0.428571,'\'B2of2\''
review,6,0.333333,0.666667,0,0.166667,0,0.166667,0.166667,0.333333,0,0.666667,'\'B1of2\''
review,21,0.619048,0.380952,0,0.238095,0.047619,0.190476,0.047619,0.047619,0,0.571429,'\'B2of2\''
review,3,0.333333,0.666667,0,0.666667,0,0,0,0,0,0.666667,'\'B2of2\''
title,3,0,1,0,0.333333,0,0,0,0.666667,0,1,'\'B1of2\''
review,13,0.384615,0.615385,0,0.153846,0.076923,0.307692,0.076923,0.076923,0,0.615385,'\'B1of2\''
title,9,0.555556,0.444444,0,0.222222,0.222222,0.333333,0,0.111111,0,0.777778,'\'B2of2\''
title,7,0.428571,0.571429,0,0.285714,0.142857,0.142857,0,0.142857,0,0.714286,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,10,0.3,0.7,0,0.4,0.1,0.3,0,0.1,0,1,'\'B2of2\''
review,59,0.389831,0.610169,0,0.220339,0.033898,0.169492,0.050847,0.118644,0,0.576271,'\'B1of2\''
