@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
review,37,0.567568,0.432432,0,0.189189,0.054054,0.216216,0,0.081081,0.027027,0.594595,'\'B2of2\''
review,8,0.25,0.75,0,0.375,0,0.125,0,0.375,0,1,'\'B2of2\''
title,14,0.357143,0.642857,0,0.214286,0.071429,0.142857,0.142857,0.285714,0,0.785714,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,8,0.375,0.625,0,0.25,0,0.125,0,0.125,0,0.625,'\'B1of2\''
review,15,0.666667,0.333333,0,0.133333,0.2,0.266667,0.066667,0.066667,0,0.666667,'\'B2of2\''
title,5,0.4,0.6,0,0.2,0,0.4,0.2,0.2,0,0.6,'\'B1of2\''
title,19,0.473684,0.526316,0,0.210526,0.052632,0.105263,0.157895,0.105263,0,0.578947,'\'B2of2\''
review,44,0.477273,0.522727,0,0.272727,0,0.159091,0.022727,0.090909,0,0.522727,'\'B2of2\''
title,4,0.25,0.75,0,0.5,0.25,0,0,0.25,0,1,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,3,0.333333,0.666667,0,0,0,0.666667,0,0,0,0.666667,'\'B1of2\''
review,8,0.375,0.625,0,0.375,0,0.125,0.25,0.125,0,0.75,'\'B2of2\''
review,13,0.384615,0.615385,0,0.384615,0,0.153846,0.076923,0,0,0.769231,'\'B2of2\''
review,1,0,1,0,0,0,0,0,1,0,1,'\'B2of2\''
review,47,0.510638,0.489362,0,0.234043,0.06383,0.212766,0.042553,0.042553,0,0.595745,'\'B1of2\''
title,6,0.333333,0.666667,0,0.5,0,0.333333,0,0,0,0.833333,'\'B1of2\''
review,61,0.57377,0.42623,0,0.147541,0.04918,0.180328,0.016393,0.081967,0,0.47541,'\'B1of2\''
review,32,0.3125,0.6875,0,0.25,0,0.21875,0.09375,0.09375,0,0.65625,'\'B1of2\''
review,7,0.428571,0.571429,0,0.285714,0.142857,0.285714,0,0,0,0.571429,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
title,4,0.5,0.5,0,0.25,0,0,0.25,0,0,0.5,'\'B1of2\''
title,9,0.555556,0.444444,0,0.333333,0.111111,0.222222,0,0,0,0.666667,'\'B1of2\''
review,4,0.5,0.5,0,0.25,0,0.25,0.25,0,0.25,0.5,'\'B2of2\''
review,44,0.5,0.5,0,0.159091,0.022727,0.25,0.090909,0.090909,0.022727,0.522727,'\'B1of2\''
title,7,0.142857,0.857143,0,0.428571,0,0,0,0.428571,0,0.857143,'\'B1of2\''
title,9,0.444444,0.555556,0,0.222222,0.111111,0.222222,0.111111,0.222222,0,0.777778,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
review,12,0.5,0.5,0,0.333333,0.083333,0.25,0,0.083333,0,0.916667,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,7,0,1,0,0.428571,0,0.142857,0,0.428571,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,41,0.560976,0.439024,0,0.195122,0.04878,0.243902,0.073171,0.073171,0.02439,0.682927,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,1,0,1,0,0,0,0,0,1,0,1,'\'B1of2\''
title,2,0.5,0.5,0,0,0.5,0.5,0,0,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,3,0.666667,0.333333,0,0.333333,0.333333,0.333333,0,0,0,1,'\'B2of2\''
review,185,0.502703,0.497297,0,0.189189,0.032432,0.145946,0.064865,0.091892,0.005405,0.459459,'\'B1of2\''
review,6,0.333333,0.666667,0,0.333333,0,0.166667,0,0.166667,0,0.833333,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,52,0.461538,0.538462,0,0.153846,0.019231,0.153846,0.038462,0.057692,0,0.423077,'\'B1of2\''
review,2,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,'\'B1of2\''
review,8,0.5,0.5,0,0.25,0,0.125,0.125,0.125,0,0.5,'\'B2of2\''
review,61,0.491803,0.508197,0,0.196721,0.065574,0.229508,0.065574,0.04918,0,0.606557,'\'B2of2\''
title,6,0.5,0.5,0,0.166667,0.166667,0,0.333333,0.333333,0,0.666667,'\'B2of2\''
review,27,0.37037,0.62963,0,0.296296,0,0.111111,0.074074,0.185185,0,0.592593,'\'B1of2\''
review,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,66,0.575758,0.424242,0,0.166667,0.045455,0.181818,0.060606,0.075758,0.015152,0.484848,'\'B1of2\''
title,5,0.2,0.8,0,0.2,0,0.4,0,0,0,0.8,'\'B2of2\''
review,11,0.454545,0.545455,0,0.272727,0,0.181818,0.272727,0,0,0.454545,'\'B1of2\''
review,18,0.444444,0.555556,0,0.222222,0.111111,0.166667,0,0.055556,0,0.611111,'\'B2of2\''
title,9,0.555556,0.444444,0,0.222222,0.111111,0.222222,0.111111,0,0,0.555556,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,64,0.453125,0.546875,0,0.203125,0.03125,0.09375,0.140625,0.0625,0,0.4375,'\'B1of2\''
title,6,0.333333,0.666667,0,0.333333,0,0.166667,0,0.166667,0,0.666667,'\'B1of2\''
review,48,0.5625,0.4375,0,0.145833,0.020833,0.229167,0.145833,0.0625,0,0.541667,'\'B2of2\''
review,174,0.522989,0.477011,0,0.132184,0.028736,0.149425,0.051724,0.04023,0.011494,0.37931,'\'B1of2\''
review,10,0.2,0.8,0,0.4,0,0.2,0,0.2,0,0.7,'\'B2of2\''
review,18,0.611111,0.388889,0,0.222222,0.166667,0.166667,0.055556,0.111111,0,0.777778,'\'B2of2\''
title,3,0,1,0,0.333333,0,0,0.333333,0.333333,0,0.666667,'\'B2of2\''
review,11,0.363636,0.636364,0,0.272727,0.090909,0.090909,0,0.272727,0,0.727273,'\'B2of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,100,0.47,0.53,0,0.24,0,0.22,0.05,0.04,0.01,0.49,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,19,0.526316,0.473684,0,0.263158,0.105263,0.210526,0.052632,0,0,0.684211,'\'B2of2\''
review,28,0.571429,0.428571,0,0.178571,0.035714,0.178571,0.107143,0.071429,0,0.464286,'\'B1of2\''
review,19,0.315789,0.684211,0,0.263158,0.052632,0.210526,0.157895,0.157895,0,0.736842,'\'B2of2\''
review,79,0.468354,0.531646,0,0.202532,0.012658,0.240506,0.075949,0.088608,0.012658,0.556962,'\'B1of2\''
review,81,0.469136,0.530864,0,0.197531,0.061728,0.185185,0.049383,0.08642,0.024691,0.555556,'\'B2of2\''
review,12,0.5,0.5,0,0.25,0,0.333333,0.083333,0,0,0.666667,'\'B1of2\''
title,4,0,1,0,0.25,0,0.25,0,0.5,0,1,'\'B1of2\''
review,29,0.586207,0.413793,0,0.137931,0.068966,0.172414,0.034483,0.103448,0,0.551724,'\'B1of2\''
title,12,0.5,0.5,0,0.333333,0,0.166667,0,0.083333,0,0.75,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
title,3,0.333333,0.666667,0,0.333333,0,0.333333,0.333333,0,0,0.666667,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,96,0.489583,0.510417,0,0.145833,0.020833,0.21875,0.072917,0.083333,0.020833,0.447917,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,36,0.527778,0.472222,0,0.194444,0.111111,0.138889,0.111111,0.055556,0.027778,0.5,'\'B2of2\''
review,6,0.5,0.5,0,0.333333,0.166667,0,0,0.166667,0,0.833333,'\'B2of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,19,0.578947,0.421053,0,0.315789,0,0.157895,0.105263,0.052632,0,0.631579,'\'B1of2\''
title,9,0.555556,0.444444,0,0.111111,0,0,0.222222,0.333333,0,0.555556,'\'B1of2\''
title,10,0.5,0.5,0,0.2,0,0.1,0.1,0.2,0,0.6,'\'B1of2\''
review,20,0.55,0.45,0,0.35,0,0.2,0.15,0,0.05,0.7,'\'B1of2\''
title,3,0.333333,0.666667,0,0,0,0.333333,0.333333,0,0,0,'\'B2of2\''
review,35,0.542857,0.457143,0,0.2,0.028571,0.2,0.057143,0.171429,0,0.6,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,3,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0,0.333333,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,238,0.554622,0.445378,0,0.147059,0.037815,0.142857,0.067227,0.042017,0.004202,0.394958,'\'B1of2\''
title,6,0.166667,0.833333,0,0.333333,0,0.333333,0,0.166667,0,1,'\'B1of2\''
review,5,0.4,0.6,0,0.4,0.2,0,0,0.2,0,0.8,'\'B2of2\''
review,31,0.354839,0.645161,0,0.290323,0.064516,0.225806,0.064516,0.096774,0,0.741935,'\'B1of2\''
review,140,0.457143,0.542857,0,0.2,0.007143,0.157143,0.057143,0.085714,0,0.464286,'\'B1of2\''
review,9,0.222222,0.777778,0,0.555556,0,0.111111,0.111111,0,0.111111,0.777778,'\'B2of2\''
review,10,0.4,0.6,0,0.2,0,0.1,0.1,0.3,0,0.6,'\'B2of2\''
review,39,0.564103,0.435897,0,0.230769,0,0.153846,0.102564,0.025641,0,0.487179,'\'B1of2\''
review,4,0.25,0.75,0,0.25,0,0,0.25,0.5,0,0.75,'\'B2of2\''
title,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
title,4,0.75,0.25,0,0.25,0.25,0.25,0,0,0,0.75,'\'B1of2\''
title,6,0.666667,0.333333,0,0.166667,0,0.333333,0.166667,0,0,0.5,'\'B2of2\''
review,15,0.4,0.6,0,0.266667,0,0.066667,0.133333,0.266667,0,0.533333,'\'B2of2\''
review,8,0.5,0.5,0,0.375,0,0.25,0.125,0,0,0.625,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,62,0.483871,0.516129,0,0.145161,0.016129,0.145161,0.129032,0.145161,0.016129,0.483871,'\'B1of2\''
title,18,0.555556,0.444444,0,0.111111,0.111111,0.166667,0.222222,0.111111,0.055556,0.555556,'\'B2of2\''
review,16,0.5,0.5,0,0.1875,0.125,0.0625,0.0625,0.1875,0,0.6875,'\'B1of2\''
review,9,0.555556,0.444444,0,0.222222,0.222222,0.222222,0,0.111111,0,0.666667,'\'B1of2\''
title,5,0.6,0.4,0,0,0,0.4,0.4,0.2,0,0.4,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B1of2\''
review,36,0.388889,0.611111,0,0.166667,0.055556,0.111111,0.194444,0.111111,0,0.444444,'\'B1of2\''
title,12,0.416667,0.583333,0,0.25,0,0.083333,0.166667,0.25,0,0.666667,'\'B1of2\''
title,3,0,1,0,0.333333,0,0,0,0.666667,0,1,'\'B2of2\''
review,24,0.416667,0.583333,0,0.125,0.041667,0.333333,0.125,0.083333,0,0.541667,'\'B1of2\''
review,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
title,10,0.5,0.5,0,0.3,0.1,0.2,0,0,0,0.7,'\'B1of2\''
review,6,0.333333,0.666667,0,0.166667,0,0.333333,0,0.166667,0,0.833333,'\'B1of2\''
review,5,0.6,0.4,0,0.2,0,0,0.4,0.2,0,0.4,'\'B1of2\''
review,137,0.40146,0.59854,0,0.160584,0.036496,0.19708,0.065693,0.094891,0.021898,0.50365,'\'B1of2\''
title,7,0.428571,0.571429,0,0.428571,0,0.142857,0,0,0,0.857143,'\'B2of2\''
title,15,0.333333,0.666667,0,0.4,0,0.133333,0.066667,0.066667,0,0.666667,'\'B1of2\''
title,7,0.285714,0.714286,0,0.285714,0,0,0.428571,0.142857,0,0.571429,'\'B1of2\''
review,14,0.571429,0.428571,0,0.142857,0.071429,0.214286,0.071429,0.071429,0,0.571429,'\'B2of2\''
title,8,0.375,0.625,0,0.375,0,0.125,0.125,0.125,0,0.625,'\'B2of2\''
review,95,0.494737,0.505263,0,0.126316,0.042105,0.2,0.073684,0.063158,0.010526,0.431579,'\'B2of2\''
review,2,0.5,0.5,0,0,0,0,0,0.5,0,0.5,'\'B1of2\''
review,20,0.5,0.5,0,0,0.05,0.2,0.15,0.25,0,0.6,'\'B2of2\''
title,1,0,1,0,0,0,0,0,1,0,1,'\'B2of2\''
review,119,0.546218,0.453782,0,0.12605,0.05042,0.092437,0.058824,0.07563,0.008403,0.378151,'\'B1of2\''
review,27,0.444444,0.555556,0,0.222222,0.111111,0.333333,0.037037,0.037037,0,0.666667,'\'B2of2\''
title,9,0.444444,0.555556,0,0.444444,0,0.222222,0.111111,0,0,0.555556,'\'B1of2\''
review,26,0.576923,0.423077,0,0.115385,0.038462,0.192308,0.153846,0.076923,0,0.5,'\'B1of2\''
title,4,0.5,0.5,0,0.5,0,0,0,0,0,0.75,'\'B1of2\''
review,66,0.424242,0.575758,0,0.166667,0.015152,0.166667,0.015152,0.106061,0.015152,0.469697,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,8,0.5,0.5,0,0.125,0,0.5,0,0.125,0,0.625,'\'B1of2\''
review,38,0.552632,0.447368,0,0.131579,0.105263,0.210526,0,0.105263,0,0.578947,'\'B2of2\''
review,33,0.454545,0.545455,0,0.151515,0.030303,0.121212,0.121212,0.181818,0.030303,0.515152,'\'B1of2\''
review,31,0.483871,0.516129,0,0.16129,0.032258,0.129032,0.225806,0.129032,0,0.516129,'\'B2of2\''
review,7,0.428571,0.571429,0,0,0,0.285714,0.142857,0.285714,0,0.428571,'\'B2of2\''
review,2,0.5,0.5,0,0,0,0.5,0,0,0,0.5,'\'B2of2\''
review,11,0.454545,0.545455,0,0.090909,0.090909,0.363636,0.181818,0.090909,0.090909,0.545455,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,10,0.6,0.4,0,0.3,0.1,0.2,0.1,0,0,0.7,'\'B1of2\''
title,1,0,1,0,0,0,1,0,0,0,1,'\'B2of2\''
review,5,0.4,0.6,0,0,0,0,0.4,0.4,0,0.4,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,19,0.578947,0.421053,0,0.157895,0.052632,0.157895,0,0.105263,0,0.684211,'\'B2of2\''
review,13,0.307692,0.692308,0,0.461538,0.076923,0.153846,0,0.153846,0,0.923077,'\'B1of2\''
title,7,0.285714,0.714286,0,0.428571,0.142857,0.285714,0,0,0,0.857143,'\'B2of2\''
title,2,0,1,0,0.5,0,0.5,0,0,0,1,'\'B1of2\''
review,118,0.525424,0.474576,0,0.144068,0.008475,0.211864,0.076271,0.067797,0.016949,0.389831,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,9,0.333333,0.666667,0,0.111111,0.111111,0.333333,0.111111,0.222222,0,0.777778,'\'B1of2\''
title,7,0.428571,0.571429,0,0.428571,0,0.285714,0,0,0,0.714286,'\'B1of2\''
review,8,0.5,0.5,0,0.125,0,0.25,0.25,0,0,0.625,'\'B2of2\''
review,3,0,1,0,0.666667,0,0,0,0.333333,0,1,'\'B2of2\''
title,15,0.533333,0.466667,0,0.2,0.066667,0.2,0.066667,0,0,0.6,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0.5,0.5,0,0,0,0,0,0.5,0,0.5,'\'B2of2\''
review,2,0.5,0.5,0,0,0,0,0,0.5,0,1,'\'B2of2\''
review,10,0.4,0.6,0,0.4,0.1,0.2,0,0,0,0.7,'\'B1of2\''
title,12,0.25,0.75,0,0.25,0.083333,0.166667,0.083333,0.083333,0,0.583333,'\'B1of2\''
review,10,0.3,0.7,0,0.3,0.1,0.2,0.2,0.2,0,0.8,'\'B2of2\''
title,10,0.1,0.9,0,0.5,0,0.1,0.1,0.2,0,0.8,'\'B2of2\''
review,27,0.555556,0.444444,0,0.111111,0.074074,0.185185,0.148148,0.111111,0,0.407407,'\'B1of2\''
title,5,0.4,0.6,0,0.4,0,0.2,0,0,0,0.6,'\'B1of2\''
review,5,0.4,0.6,0,0,0,0.2,0.4,0.2,0,0.4,'\'B2of2\''
review,63,0.492063,0.507937,0,0.111111,0.063492,0.190476,0.15873,0.063492,0,0.428571,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,14,0.5,0.5,0,0.285714,0.142857,0.285714,0.071429,0,0,0.571429,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,86,0.523256,0.476744,0,0.209302,0,0.151163,0.093023,0.05814,0.011628,0.453488,'\'B1of2\''
title,6,0.166667,0.833333,0,0.166667,0,0.166667,0.333333,0.166667,0,0.5,'\'B2of2\''
review,37,0.648649,0.351351,0,0.189189,0.108108,0.162162,0.027027,0.054054,0.054054,0.540541,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,104,0.528846,0.471154,0,0.163462,0.038462,0.201923,0.067308,0.057692,0.028846,0.461538,'\'B2of2\''
review,11,0.363636,0.636364,0,0.272727,0,0.090909,0.090909,0.181818,0,0.636364,'\'B1of2\''
review,40,0.475,0.525,0,0.225,0.05,0.225,0.075,0.125,0,0.625,'\'B1of2\''
title,10,0.5,0.5,0,0.2,0,0.3,0.1,0.2,0,0.7,'\'B1of2\''
title,5,0.4,0.6,0,0.2,0,0.2,0,0.2,0,0.6,'\'B1of2\''
review,24,0.416667,0.583333,0,0.375,0.083333,0.166667,0.041667,0,0,0.708333,'\'B2of2\''
review,11,0.181818,0.818182,0,0.454545,0.090909,0.090909,0,0.272727,0,0.818182,'\'B2of2\''
review,22,0.5,0.5,0,0.272727,0.045455,0.272727,0,0.045455,0,0.681818,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,13,0.307692,0.692308,0,0.307692,0,0.076923,0.230769,0.230769,0,0.615385,'\'B1of2\''
title,3,0,1,0,0.666667,0,0,0,0,0,1,'\'B2of2\''
review,3,0.333333,0.666667,0,0,0,0.666667,0,0,0,0.333333,'\'B2of2\''
review,1,0,1,0,0,0,0,0,1,0,1,'\'B2of2\''
review,84,0.452381,0.547619,0,0.178571,0.02381,0.166667,0.142857,0.107143,0.02381,0.47619,'\'B1of2\''
title,5,0.6,0.4,0,0,0.2,0.4,0,0,0.2,0.4,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,82,0.463415,0.536585,0.012195,0.195122,0.02439,0.182927,0.012195,0.04878,0.012195,0.439024,'\'B1of2\''
review,61,0.47541,0.52459,0,0.213115,0.016393,0.196721,0.081967,0.098361,0.016393,0.557377,'\'B1of2\''
title,2,0,1,0,0,0,0.5,0.5,0,0,0,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,26,0.615385,0.384615,0,0.115385,0.076923,0.269231,0.076923,0.038462,0.076923,0.5,'\'B2of2\''
review,13,0.461538,0.538462,0,0.153846,0.076923,0.230769,0.153846,0.076923,0,0.461538,'\'B1of2\''
title,16,0.5625,0.4375,0,0.0625,0.0625,0.25,0.0625,0.1875,0,0.625,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,23,0.565217,0.434783,0,0.391304,0.086957,0.173913,0.043478,0,0.043478,0.652174,'\'B2of2\''
title,5,0.4,0.6,0,0,0,0.4,0,0.2,0,0.2,'\'B2of2\''
review,9,0.666667,0.333333,0,0.111111,0.111111,0.444444,0,0,0.111111,0.555556,'\'B2of2\''
review,37,0.459459,0.540541,0,0.216216,0.027027,0.162162,0.027027,0.162162,0,0.72973,'\'B2of2\''
review,4,0,1,0,0.5,0,0,0,0.25,0,0.75,'\'B2of2\''
title,6,0.166667,0.833333,0,0.333333,0,0.166667,0,0.333333,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,56,0.428571,0.571429,0,0.232143,0.053571,0.196429,0.089286,0.107143,0,0.625,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,96,0.53125,0.46875,0,0.135417,0.03125,0.177083,0.083333,0.052083,0.010417,0.354167,'\'B1of2\''
title,4,0.75,0.25,0,0.25,0,0.25,0.25,0,0.25,0.5,'\'B1of2\''
review,42,0.5,0.5,0,0.238095,0,0.214286,0.047619,0.119048,0.02381,0.595238,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0.5,0,0,0,1,'\'B1of2\''
title,3,0.333333,0.666667,0,0,0,0.333333,0,0.333333,0,0.666667,'\'B1of2\''
review,11,0.545455,0.454545,0,0.272727,0.181818,0.181818,0.090909,0,0,0.636364,'\'B2of2\''
review,79,0.531646,0.468354,0,0.202532,0.037975,0.151899,0.088608,0.126582,0.012658,0.582278,'\'B1of2\''
review,20,0.45,0.55,0,0.25,0.05,0.15,0.2,0.15,0,0.6,'\'B1of2\''
review,4,0.5,0.5,0,0.25,0,0.25,0.25,0,0.25,0.5,'\'B2of2\''
title,3,0,1,0,0,0,0.333333,0.333333,0.333333,0,0.666667,'\'B2of2\''
review,62,0.483871,0.516129,0,0.16129,0.016129,0.177419,0.129032,0.145161,0.016129,0.564516,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,44,0.454545,0.545455,0,0.295455,0.068182,0.159091,0.045455,0.022727,0.022727,0.590909,'\'B2of2\''
title,19,0.263158,0.736842,0,0.421053,0.052632,0.105263,0.105263,0.105263,0,0.631579,'\'B1of2\''
title,5,0.4,0.6,0,0.4,0,0,0,0.2,0,0.8,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
title,8,0.25,0.75,0,0.375,0,0,0,0.375,0,0.875,'\'B2of2\''
title,4,0.75,0.25,0,0,0.25,0.25,0.25,0.25,0,0.75,'\'B1of2\''
review,7,0.571429,0.428571,0,0.285714,0,0.285714,0,0,0,0.571429,'\'B2of2\''
review,3,0.333333,0.666667,0,0.333333,0,0,0.333333,0.333333,0,0.666667,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,372,0.438172,0.561828,0,0.137097,0.018817,0.150538,0.051075,0.067204,0.008065,0.370968,'\'B1of2\''
review,3,0,1,0,0.333333,0,0.333333,0.333333,0,0,0.666667,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,16,0.375,0.625,0,0.1875,0.0625,0.1875,0.25,0.0625,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,4,0.5,0.5,0,0.25,0,0,0,0.25,0,0.75,'\'B1of2\''
review,79,0.367089,0.632911,0,0.253165,0.063291,0.151899,0.050633,0.075949,0,0.531646,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,1,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
review,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,5,0.4,0.6,0,0.2,0,0.2,0,0.2,0,0.8,'\'B1of2\''
review,47,0.468085,0.531915,0,0.148936,0.042553,0.276596,0.12766,0.085106,0,0.531915,'\'B2of2\''
review,8,0.375,0.625,0,0.25,0.125,0.25,0.125,0,0,0.75,'\'B2of2\''
title,5,0.4,0.6,0,0.2,0,0.2,0,0.2,0,0.8,'\'B2of2\''
review,14,0.5,0.5,0,0.285714,0.071429,0.071429,0.214286,0.071429,0,0.714286,'\'B2of2\''
review,11,0.454545,0.545455,0,0.090909,0.090909,0.272727,0.272727,0,0,0.363636,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,5,0.4,0.6,0,0.2,0,0,0,0.4,0,0.6,'\'B2of2\''
review,276,0.438406,0.561594,0,0.15942,0.01087,0.108696,0.07971,0.07971,0.007246,0.365942,'\'B1of2\''
review,6,0.333333,0.666667,0,0.5,0,0,0,0.166667,0,0.833333,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'B2of2\''
review,150,0.54,0.46,0,0.146667,0.02,0.153333,0.06,0.073333,0.026667,0.393333,'\'B1of2\''
review,7,0.285714,0.714286,0,0.428571,0,0,0.142857,0.285714,0,0.714286,'\'B2of2\''
title,4,0.25,0.75,0,0.25,0,0,0,0.5,0,0.75,'\'B2of2\''
title,8,0.375,0.625,0,0.125,0.125,0.25,0.375,0,0,0.5,'\'B2of2\''
title,10,0.7,0.3,0,0.1,0,0.2,0,0.1,0,0.4,'\'B1of2\''
title,2,0,1,0,1,0,0,0,0,0,1,'\'B2of2\''
review,59,0.525424,0.474576,0,0.271186,0.050847,0.135593,0.084746,0.101695,0.033898,0.610169,'\'B2of2\''
review,10,0.4,0.6,0,0.3,0,0.2,0,0.1,0,0.8,'\'B1of2\''
