topic, Helpful sites
ngrams in nltk, http://madhukaudantha.blogspot.com/2015/05/nltk-tutorial03-n-gram.html
ngrams in nltk, http://scikit-learn.org/stable/modules/feature_extraction.html#text-feature-extraction
