@relation 'parseResultFiles\\smart_review_data.arff-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'crosley cr8005a-tu cruiser portable 3-speed turntable turquoise','cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover','dymo labelmanager 280 rechargeable hand-held label maker (1815990)','everydrop by whirlpool refrigerator water filter 1 (pack of 1)','iron gym total upper body workout bar','jbl clip 2 waterproof portable bluetooth speaker (teal)','motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging','ninja professional blender (bl610)','oster cordless electric wine bottle opener with foil cutter ffp','rolodex deep desk drawer organizer metal mesh black (22131)','samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)','set of ten finger hands finger puppets','the crystal bible','uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)','viviscal extra strength hair nutrient tablets 90-tablets'}
@attribute type {review,title}
@attribute stop_p numeric
@attribute meaning_p numeric
@attribute proper_noun_p numeric
@attribute noun_p numeric
@attribute pronoun_p numeric
@attribute verb_p numeric
@attribute adverb_p numeric
@attribute adjective_p numeric
@attribute wh-word_p numeric
@attribute rating {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}

@data
57,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',review,0.464164,0.535836,0,0.133106,0.017065,0.156997,0.051195,0.061433,0.006826,'\'B5of5\''
57,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',title,0,1,0,0.333333,0,0,0,0.333333,0,'\'B5of5\''
58,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',review,0.375,0.625,0,0.107456,0.010965,0.125,0.046053,0.048246,0.008772,'\'B5of5\''
58,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',title,0,1,0,0.5,0,0,0,0.5,0,'\'B5of5\''
59,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',review,0.400631,0.599369,0,0.154574,0.028391,0.14511,0.037855,0.07571,0.012618,'\'B5of5\''
59,'cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover',title,0.666667,0.333333,0,0.133333,0.066667,0.133333,0,0.066667,0,'\'B5of5\''
60,'the crystal bible',review,0.345455,0.654545,0,0.163636,0.018182,0.181818,0.036364,0.090909,0.018182,'\'B5of5\''
60,'the crystal bible',title,0,1,0,0.333333,0,0,0,0.333333,0,'\'B5of5\''
61,'the crystal bible',review,0.458333,0.541667,0,0.166667,0.041667,0.208333,0.083333,0.083333,0.041667,'\'B1of5\''
61,'the crystal bible',title,0.545455,0.454545,0,0.181818,0,0.090909,0.090909,0.090909,0,'\'B1of5\''
62,'the crystal bible',review,0.558824,0.441176,0,0.132353,0.014706,0.161765,0.073529,0.073529,0,'\'B2of5\''
62,'the crystal bible',title,0.333333,0.666667,0,0.333333,0,0,0,0,0,'\'B2of5\''
63,'the crystal bible',review,0.463636,0.536364,0,0.118182,0.018182,0.172727,0.063636,0.054545,0.009091,'\'B5of5\''
63,'the crystal bible',title,0.636364,0.363636,0,0.272727,0,0.181818,0.090909,0,0,'\'B5of5\''
