stop_percent,product_name,processed_WC,meaning_percent,meaningful_words,stop_words,review_score,initial_WC
0.2727272727272727,"rolodex deep desk drawer organizer, metal mesh, black (22131)",11,0.7272727272727273,"{'This', 'Everything', 'I', 'Can', 'Desk', 'Drawer', '!', 'Find'}","{'in', 'with', 'my'}",5.0 ,11
0.3333333333333333,"rolodex deep desk drawer organizer, metal mesh, black (22131)",3,0.6666666666666666,"{'Useful', 'Sturdy'}",{'and'},5.0 ,3
0.35,"rolodex deep desk drawer organizer, metal mesh, black (22131)",20,0.65,"{'big', 'lotlke', 'pretty', 'hold', 'would', 'packs', 'post', '...', 'note', '5', 'center', 'odds', 'perfect'}","{'a', 'for', 'its', 'about', 'or', 'is', 'of'}",5.0 ,21
0.47058823529411764,uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x),17,0.5294117647058824,"{'body', 'melatonin', 'Blocks', '-', 'naturally', 'careful', 'things', 'produces', 'blue'}","{'a', 'with', 'just', 'your', 'few', 'so', 'be', 'the'}",5.0 ,17
0.0,uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x),4,1.0,"{'Nature', 'Sleep', 'Like', 'Intended'}",set(),5.0 ,4
0.23076923076923078,uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x),13,0.7692307692307693,"{'happy', 'chronic', 'problems', 'sleep', 'well', 'My', '!', 'resolved', 'Sleeping', 'waking'}","{'been', 'and', 'have'}",5.0 ,14
0.4166666666666667,uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x),12,0.5833333333333334,"{'I', 'comes', 'like', 'skeptical', 'Well', 'super', 'things'}","{'it', 'am', 'to', 'this', 'when'}",5.0 ,12
0.0,everydrop by whirlpool refrigerator water filter 1 (pack of 1),2,1.0,"{'product', 'Good'}",set(),5.0 ,2
0.25,everydrop by whirlpool refrigerator water filter 1 (pack of 1),20,0.75,"{'Update', 'one', 'ordered', 'size', 'Refund', ':', '!', 'last', 'work', 'anymore', 'slightly', '’', 'Latest', 'requested', 'different'}","{'.', 't', 'than', 'doesn', 'so'}",1.0 ,20
0.25,everydrop by whirlpool refrigerator water filter 1 (pack of 1),8,0.75,"{'replacement', '!', 'good', 'NOT', 'W10295370', 'Is'}","{'a', 'for'}",1.0 ,8
0.5555555555555556,everydrop by whirlpool refrigerator water filter 1 (pack of 1),9,0.4444444444444444,"{'far', 'best', 'brand', 'found'}","{'that', 'we', 'have', 'by', 'the'}",5.0 ,9
0.14285714285714285,everydrop by whirlpool refrigerator water filter 1 (pack of 1),7,0.8571428571428571,"{'Filter', 'replacement', '1', 'W10295370A', ':', 'Certified'}",{'for'},5.0 ,7
0.16666666666666666,everydrop by whirlpool refrigerator water filter 1 (pack of 1),6,0.8333333333333334,"{'Whirlpool', 'Great', 'replacement', 'fridge', 'filter'}",{'for'},5.0 ,6
0.0,everydrop by whirlpool refrigerator water filter 1 (pack of 1),3,1.0,"{'STAY', '!', 'CLEAR'}",set(),1.0 ,3
0.375,everydrop by whirlpool refrigerator water filter 1 (pack of 1),8,0.625,"{'works', 'good', 'item', 'whirlpool', 'Good'}","{'very', 'on', ','}",4.0 ,8
0.16666666666666666,iron gym total upper body workout bar,6,0.8333333333333334,"{'!', 'toilet', 'great', 'Works', 'paper'}",{'with'},5.0 ,7
0.36363636363636365,iron gym total upper body workout bar,11,0.6363636363636364,"{'mine', 'Bought', '...', 'November', 'The', 'intermittently', 'used'}","{'.', 'only', 'and', 'in'}",3.0 ,11
0.0,iron gym total upper body workout bar,6,1.0,"{'--', 'break', 'eventually', 'WILL', 'Plastic', 'BEWARE'}",set(),4.0 ,6
0.25,iron gym total upper body workout bar,8,0.75,"{'bar', 'certain', 'precautions', 'necessary', 'pull-up', 'Good'}","{'but', ','}",4.0 ,8
0.3333333333333333,iron gym total upper body workout bar,9,0.6666666666666666,"{'attached', 'stay', 'pull-ups', 'ca', ""n't"", 'Grips'}","{'.', 'do', ','}",1.0 ,11
0.38461538461538464,iron gym total upper body workout bar,13,0.6153846153846154,"{'fit', 'buying', 'may', '--', 'door', 'Check', 'molding', 'product'}","{'not', 'before', 'it', 'this', 'your'}",4.0 ,13
0.3333333333333333,iron gym total upper body workout bar,3,0.6666666666666666,"{'pull-ups', 'Pull-ups'}","{','}",5.0 ,5
0.2857142857142857,iron gym total upper body workout bar,7,0.7142857142857143,"{'Do', '!', 'using', 'safe', 'feel'}","{'it', 'not'}",1.0 ,7
0.0,"oster cordless electric wine bottle opener with foil cutter, ffp",6,1.0,"{'#', 'YEARS', '...', '3', 'amazeballs', 'later'}",set(),5.0 ,7
0.5,"oster cordless electric wine bottle opener with foil cutter, ffp",4,0.5,"{'Great', 'lasted'}","{'it', 'while'}",3.0 ,4
0.1111111111111111,"oster cordless electric wine bottle opener with foil cutter, ffp",9,0.8888888888888888,"{'Product', 'Do', 'Service', ""n't"", 'Poor', 'Customer', 'bother', 'Horrible'}",{'.'},1.0 ,11
0.14285714285714285,"oster cordless electric wine bottle opener with foil cutter, ffp",14,0.8571428571428571,"{'17', 'I', 'read', 'manual', '$', '.after', '!', '...', 'spent', '’', 'Best', 'ever'}","{'ve', 'the'}",5.0 ,15
0.1,"oster cordless electric wine bottle opener with foil cutter, ffp",20,0.9,"{'AMAZON', 'AS', 'CHRISTMAS', 'THEY', 'A', 'SINCE', 'IN', 'WILL', 'RETURN', 'ITEM', 'LOSING', 'FAITH', 'HONOR', 'ON', 'NOT', 'PURCHASED', 'GIFT', 'DEFECTIVE'}","{'.', ','}",1.0 ,21
0.0,shake weight dumbell,2,1.0,"{'product', 'Good'}",set(),5.0 ,2
0.0,shake weight dumbell,2,1.0,"{'!', 'Amazing'}",set(),5.0 ,2
0.5,shake weight dumbell,6,0.5,"{'Shake', '..head', '...'}","{'no', 'your', ','}",2.0 ,6
0.2,shake weight dumbell,5,0.8,"{'personally', 'I', 'love', 'thing'}",{'this'},5.0 ,5
0.5,shake weight dumbell,12,0.5,"{'brand', 'new', 'It', '...', 'believe', 'hard'}","{'to', 'for', 'these', 'me', ""'s"", 'are'}",1.0 ,12
0.25,shake weight dumbell,8,0.75,"{'Out', 'Work', 'Does', 'Shake', 'Weight', 'Give'}","{'a', 'you'}",5.0 ,8
0.16666666666666666,shake weight dumbell,6,0.8333333333333334,"{""n't"", '!', 'believe', 'results', 'Ca'}",{'the'},5.0 ,6
0.0,shake weight dumbell,3,1.0,"{'!', 'workout', 'GREAT'}",set(),5.0 ,3
0.0,set of ten finger hands finger puppets,2,1.0,"{'No', 'regrets'}",set(),5.0 ,2
0.0,set of ten finger hands finger puppets,2,1.0,"{'proportions', 'Wrong'}",set(),2.0 ,2
0.5882352941176471,set of ten finger hands finger puppets,17,0.4117647058823529,"{'wear', 'I', 'quantity', 'inconsistent', 'love', 'hands', 'quickly'}","{'an', 'out', '.', 'each', 'these', 'but', 'and', 'they', 'have', 'of'}",3.0 ,17
0.2727272727272727,set of ten finger hands finger puppets,11,0.7272727272727273,"{'gag', 'toy', 'A', 'set', '!', 'hands', '10', 'awesome'}","{'but', 'of', ','}",5.0 ,11
0.2857142857142857,set of ten finger hands finger puppets,7,0.7142857142857143,"{'ya', 'ta', 'Hand', 'Got', '...'}","{'to', 'it'}",5.0 ,7
0.4,set of ten finger hands finger puppets,10,0.6,"{""''"", 'set', 'Dishonest', 'receive', '``', 'You'}","{'.', 'not', 'a', 'do'}",1.0 ,10
0.6,set of ten finger hands finger puppets,10,0.4,"{'LOVE', 'so-called', '...', 'artist'}","{'a', 'am', 'i', 'these', ',', 'and'}",5.0 ,12
0.4,set of ten finger hands finger puppets,5,0.6,"{'creepy', 'So', 'funny'}","{',', 'so'}",2.0 ,5
0.0,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",3,1.0,"{'something', 'Buy', 'else'}",set(),1.0 ,3
0.1,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",10,0.9,"{'JUNK', 'I', 'NO', 'HEARD', 'THAT', 'FULL', '...', 'BLAST', 'SOUND'}",{'.'},1.0 ,11
0.25,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",8,0.75,"{'piece', 'Do', 'junk', ""n't"", '!', 'buy'}","{'this', 'of'}",1.0 ,8
0.4,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",5,0.6,"{'deal', 'Great', 'price'}","{'for', 'the'}",4.0 ,5
0.3333333333333333,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",3,0.6666666666666666,"{'Spin', 'Drop'}",{'and'},3.0 ,3
0.3333333333333333,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",3,0.6666666666666666,"{'Simple', 'Cute'}",{'and'},4.0 ,3
0.5714285714285714,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",7,0.42857142857142855,"{'pay', 'get', 'You'}","{'what', '.', 'for', 'you'}",2.0 ,7
0.38461538461538464,"crosley cr8005a-tu cruiser portable 3-speed turntable, turquoise",13,0.6153846153846154,"{'I', 'one', 'lot', 'see', 'fine', 'reviews', 'bad', 'product'}","{'.', 'of', 'is', 'this', 'a'}",5.0 ,13
0.3333333333333333,jbl clip 2 waterproof portable bluetooth speaker (teal),6,0.6666666666666666,"{'small', 'speaker', 'size', 'Great'}","{'a', 'in'}",5.0 ,6
0.2857142857142857,jbl clip 2 waterproof portable bluetooth speaker (teal),7,0.7142857142857143,"{'small', 'sound', 'Great', 'packed', 'beast'}","{'into', 'a'}",5.0 ,7
0.2,jbl clip 2 waterproof portable bluetooth speaker (teal),5,0.8,"{'87', 'Surprised', 'dropped', 'feet'}",{'from'},5.0 ,5
0.36363636363636365,jbl clip 2 waterproof portable bluetooth speaker (teal),11,0.6363636363636364,"{'I', 'sound', 'mini', 'great', 'Works', 'link', 'sounds'}","{'.', 'and', 'a', 'had'}",5.0 ,11
0.36363636363636365,jbl clip 2 waterproof portable bluetooth speaker (teal),11,0.6363636363636364,"{'Quality', 'BT', 'Features', 'Tiny', 'Speaker', 'Best', 'Design'}","{'and', 'a', 'in', ','}",5.0 ,12
0.3333333333333333,jbl clip 2 waterproof portable bluetooth speaker (teal),12,0.6666666666666666,"{'camping', 'Pound', 'Great', '!', 'Sound', 'hiking', 'per', 'backpacking'}","{'.', 'and', 'for', ','}",5.0 ,14
0.2,jbl clip 2 waterproof portable bluetooth speaker (teal),5,0.8,"{'speaker', 'Great', 'adventures', 'grab-and-go'}",{'for'},5.0 ,5
0.14285714285714285,jbl clip 2 waterproof portable bluetooth speaker (teal),7,0.8571428571428571,"{'I', 'owned', 'speaker', '!', 'Best/smallest', '’'}",{'ve'},5.0 ,7
0.16666666666666666,ninja professional blender (bl610),6,0.8333333333333334,"{'excellent', 'service', 'Great', 'customer', 'blender'}","{','}",5.0 ,6
0.0,ninja professional blender (bl610),5,1.0,"{'BLADE', 'ERROR', 'OPERATOR', '-', 'HOUSING'}",set(),5.0 ,5
0.0,ninja professional blender (bl610),2,1.0,"{'magic', 'Smoothie'}",set(),5.0 ,2
0.0,ninja professional blender (bl610),4,1.0,"{'!', 'Blender', 'jar', 'exploded'}",set(),1.0 ,4
0.17647058823529413,ninja professional blender (bl610),17,0.8235294117647058,"{'8', 'RECOMMEND', 'Costly', 'usage', 'broke', 'warranty', 'Plastic', 'Poor', 'little', 'months', '!', 'DO', 'NOT', 'within'}","{'.', 'with', ','}",1.0 ,18
